nom,epoch,trial,battery,station,target,reward,state,action,x,y,done,fail,ghgf
[0, 6, 44, 28.5, 90.7146157431864, 94.70395779819081, -1, 8, 0, 1, 0, 0, 0, 0]
[0, 6, 45, 26.0, 82.71763746124408, 91.22282484984174, -1, 8, 1, 2, 0, 0, 0, 0]
[0, 6, 46, 23.5, 90.7146157431864, 94.70395779819081, -20, 8, 1, 1, 0, 0, 0, 0]
[0, 6, 47, 21.0, 82.71763746124408, 91.22282484984174, -20, 8, 1, 2, 0, 0, 0, 0]
[0, 6, 48, 18.5, 90.7146157431864, 94.70395779819081, -20, 8, 1, 1, 0, 0, 0, 0]
[0, 6, 49, 16.0, 82.71763746124408, 91.22282484984174, -20, 8, 1, 2, 0, 0, 0, 0]
[0, 6, 50, 13.5, 90.7146157431864, 94.70395779819081, -20, 8, 1, 1, 0, 0, 0, 0]
[0, 6, 51, 11.0, 82.71763746124408, 91.22282484984174, -20, 8, 1, 2, 0, 0, 0, 0]
[0, 6, 52, 8.5, 90.7146157431864, 94.70395779819081, -20, 8, 1, 1, 0, 0, 0, 0]
[0, 7, 1, 97.5, 99, 99, -1, 35, 2, 1, 0, 0, 0, 0]
[0, 7, 2, 96.0, 90.7146157431864, 94.70395779819081, -1, 35, 0, 1, 0, 0, 0, 0]
[0, 7, 3, 94.5, 90.7146157431864, 94.70395779819081, -1, 35, 2, 1, 0, 0, 0, 0]
[0, 7, 4, 93.0, 82.71763746124408, 91.22282484984174, -1, 35, 0, 2, 0, 0, 0, 0]
[0, 7, 5, 91.5, 90.7146157431864, 94.70395779819081, -1, 35, 0, 1, 0, 0, 0, 0]
[0, 7, 6, 90.0, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 7, 7, 88.5, 90.7146157431864, 94.70395779819081, -1, 35, 0, 1, 0, 0, 0, 0]
[0, 7, 8, 87.0, 86.00570406708773, 86.00570406708773, -1, 35, 0, 1, 1, 0, 0, 0]
[0, 7, 9, 85.5, 86.00570406708773, 86.00570406708773, -1, 35, 2, 1, 1, 0, 0, 0]
[0, 7, 10, 84.0, 82.15683345296888, 77.52449399906664, -1, 35, 1, 1, 2, 0, 0, 0]
[0, 7, 11, 82.5, 73.23121821159823, 73.23121821159823, -1, 35, 1, 2, 2, 0, 0, 0]
[0, 7, 12, 81.0, 64.5042780503158, 70.0035713374682, -1, 35, 1, 3, 2, 0, 0, 0]
[0, 7, 13, 79.5, 56.06885928153056, 67.99347915460106, -1, 34, 1, 4, 2, 0, 0, 0]
[0, 7, 14, 78.0, 48.07865018668458, 67.3101102613584, -1, 34, 1, 5, 2, 0, 0, 0]
[0, 7, 15, 76.5, 40.796087492760634, 67.99347915460106, -1, 34, 1, 6, 2, 0, 0, 0]
[0, 7, 16, 75.0, 34.670007700637505, 70.0035713374682, 5, 34, 1, 7, 2, 0, 0, 0]
[0, 7, 17, 73.5, 27.19739166184043, 60.81521656656117, 5, 33, 1, 7, 3, 0, 0, 0]
[0, 7, 18, 72.0, 21.501426016771934, 64.5042780503158, 5, 30, 1, 8, 3, 0, 0, 0]
[0, 7, 19, 70.5, 13.598695830920215, 56.06885928153056, 5, 30, 1, 8, 4, 0, 0, 0]
[0, 7, 20, 69.0, 9.615730037336915, 61.57071406268307, 5, 21, 1, 9, 4, 0, 0, 0]
[0, 7, 21, 67.5, 0, 54.39478332368086, 5, 21, 1, 9, 5, 1, 0, 0]
[0, 8, 1, 97.5, 99, 99, -1, 35, 2, 9, 5, 0, 0, 0]
[0, 8, 2, 96.0, 99, 99, -1, 35, 2, 9, 5, 0, 0, 0]
[0, 8, 3, 94.5, 99, 99, -1, 35, 2, 9, 5, 0, 0, 0]
[0, 8, 4, 93.0, 90.7146157431864, 94.70395779819081, -1, 35, 0, 1, 0, 0, 0, 0]
[0, 8, 5, 91.5, 90.7146157431864, 94.70395779819081, -1, 35, 2, 1, 0, 0, 0, 0]
[0, 8, 6, 90.0, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 8, 7, 88.5, 82.71763746124408, 91.22282484984174, -1, 35, 2, 2, 0, 0, 0, 0]
[0, 8, 8, 87.0, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 8, 9, 85.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 8, 10, 84.0, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 8, 11, 82.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 8, 12, 81.0, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 8, 13, 79.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 8, 14, 78.0, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 8, 15, 76.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 8, 16, 75.0, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 8, 17, 73.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 8, 18, 72.0, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 8, 19, 70.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 8, 20, 69.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 8, 21, 67.5, 82.71763746124408, 91.22282484984174, -1, 26, 1, 2, 0, 0, 0, 0]
[0, 8, 22, 66.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 8, 23, 64.5, 82.71763746124408, 91.22282484984174, -1, 26, 1, 2, 0, 0, 0, 0]
